region,best_model,cv_score,n_hup,n_mni
ctx-rh-bankssts,svm,1.0,6,5
ctx-lh-medialorbitofrontal,svm,1.0,6,11
ctx-lh-fusiform,svm,1.0,13,6
ctx-lh-parstriangularis,logistic,0.9666666666666668,11,11
ctx-lh-middletemporal,svm,0.9444444444444444,15,12
ctx-rh-caudalmiddlefrontal,logistic,0.9333333333333333,7,14
ctx-rh-fusiform,logistic,0.9333333333333333,14,11
ctx-lh-precentral,svm,0.9,7,14
Right-Hippocampus,logistic,0.9,9,5
ctx-rh-medialorbitofrontal,logistic,0.9,5,10
ctx-rh-lateraloccipital,logistic,0.8666666666666668,9,12
ctx-rh-superiortemporal,svm,0.8666666666666668,5,15
ctx-lh-inferiortemporal,svm,0.8555555555555555,15,13
ctx-lh-supramarginal,svm,0.85,9,13
ctx-rh-postcentral,svm,0.8333333333333334,10,15
ctx-rh-inferiortemporal,rf,0.8333333333333333,13,11
ctx-rh-rostralmiddlefrontal,logistic,0.8283333333333334,16,22
ctx-lh-superiortemporal,logistic,0.7999999999999999,14,20
ctx-rh-parstriangularis,logistic,0.7833333333333334,10,11
ctx-rh-middletemporal,rf,0.7783333333333334,13,21
ctx-rh-parsopercularis,logistic,0.7666666666666668,10,16
ctx-rh-superiorparietal,logistic,0.7666666666666667,5,12
ctx-rh-superiorfrontal,svm,0.75,6,16
ctx-lh-parsopercularis,svm,0.7000000000000001,7,12
ctx-rh-supramarginal,svm,0.7000000000000001,9,16
ctx-lh-inferiorparietal,rf,0.7,9,5
ctx-lh-postcentral,svm,0.7,7,7
ctx-rh-lateralorbitofrontal,svm,0.7,10,10
ctx-lh-rostralmiddlefrontal,svm,0.6666666666666667,13,14
ctx-rh-precentral,svm,0.66,12,25
ctx-lh-caudalmiddlefrontal,rf,0.6,5,8
ctx-rh-inferiorparietal,svm,0.5416666666666667,10,17
Left-Hippocampus,svm,0.4,10,8
